procesos,t_max_s,t_min_s,t_avg_s
2,4.695522,4.560618,4.628070
2,4.683911,4.553398,4.618654
2,5.183715,4.727424,4.955570
2,4.984912,4.653094,4.819003
2,4.692979,4.614986,4.653982
2,4.694578,4.573258,4.633918
2,4.697945,4.603765,4.650855
2,4.694827,4.574626,4.634726
2,4.697080,4.586309,4.641695
2,4.691015,4.595667,4.643341
2,4.685632,4.603990,4.644811
2,4.695865,4.574210,4.635037
2,4.687102,4.585260,4.636181
2,4.685761,4.598444,4.642103
2,4.680791,4.591377,4.636084
2,5.939858,5.112648,5.526253
2,4.695101,4.597976,4.646538
2,4.695233,4.573067,4.634150
2,4.685646,4.572520,4.629083
2,4.683939,4.576480,4.630209
2,4.695541,4.572284,4.633912
2,4.694572,4.568182,4.631377
2,4.691989,4.564309,4.628149
2,4.686839,4.557914,4.622376
2,4.688668,4.563306,4.625987
2,4.685576,4.586701,4.636139
2,4.692269,4.581782,4.637026
2,4.752479,4.577926,4.665203
2,4.922851,4.822722,4.872786
2,4.691368,4.586478,4.638923
2,4.682184,4.588100,4.635142
2,4.699098,4.586444,4.642771
2,4.691723,4.572248,4.631985
2,4.693578,4.564238,4.628908
2,4.686964,4.583470,4.635217
2,4.686815,4.581733,4.634274
2,4.687034,4.572214,4.629624
2,4.691331,4.586057,4.638694
2,4.688783,4.575617,4.632200
2,4.685369,4.574618,4.629993
2,5.700012,5.166312,5.433162
2,4.695801,4.578633,4.637217
2,4.689168,4.572924,4.631046
2,4.701242,4.583539,4.642390
2,4.693336,4.582225,4.637781
2,4.696109,4.571117,4.633613
2,4.694460,4.612568,4.653514
2,4.689910,4.601993,4.645951
2,4.696769,4.687537,4.692153
2,4.702915,4.588936,4.645926
2,4.696087,4.688177,4.692132
2,4.781047,4.681333,4.731190
2,4.690687,4.678664,4.684676
2,5.301315,5.206438,5.253876
2,4.907625,4.694369,4.800997
2,4.692667,4.689973,4.691320
2,4.696887,4.688410,4.692649
2,4.931572,4.688397,4.809984
2,5.117573,4.681691,4.899632
2,5.219452,4.687341,4.953397
2,5.041404,4.687010,4.864207
2,5.157708,4.687745,4.922727
2,4.761428,4.694224,4.727826
2,5.210410,4.691070,4.950740
2,5.234132,4.691084,4.962608
2,6.195513,5.022852,5.609182
2,5.838225,4.687289,5.262757
2,5.089772,4.693876,4.891824
2,5.443275,4.695649,5.069462
2,4.934384,4.693747,4.814066
2,4.794582,4.697862,4.746222
2,4.687052,4.665118,4.676085
2,4.797345,4.687819,4.742582
2,4.773847,4.682542,4.728194
2,5.118477,4.685791,4.902134
2,5.229496,4.684643,4.957069
2,6.306572,5.083731,5.695151
2,6.157695,4.688100,5.422897
2,5.476112,4.685482,5.080797
2,5.211997,4.686140,4.949069
2,5.555624,4.696280,5.125952
2,5.051691,4.690167,4.870929
2,4.980750,4.689393,4.835072
2,5.226301,4.689094,4.957698
2,4.929681,4.685784,4.807732
2,5.312649,4.686647,4.999648
2,4.974544,4.691704,4.833124
2,4.790624,4.766306,4.778465
2,5.710382,5.300981,5.505681
2,4.690281,4.600167,4.645224
2,4.687319,4.596364,4.641842
2,4.685538,4.602732,4.644135
2,4.700470,4.666787,4.683628
2,4.691407,4.635565,4.663486
2,4.680324,4.643816,4.662070
2,4.681670,4.639935,4.660803
2,4.689921,4.611781,4.650851
2,4.681709,4.592550,4.637129
2,4.684430,4.576770,4.630600
2,4.683011,4.592615,4.637813
3,3.764588,3.218684,3.530047
3,3.128946,3.112700,3.123150
3,3.129111,3.064062,3.107085
3,3.129308,3.072332,3.109524
3,3.135430,3.090600,3.119204
3,3.135202,3.059743,3.104852
3,3.127172,3.064530,3.105523
3,3.130874,3.067973,3.107390
3,3.128810,3.067944,3.107063
3,3.127909,3.059392,3.104292
3,3.125936,3.039504,3.095800
3,3.131094,3.056182,3.102707
3,3.131677,3.051137,3.078400
3,3.125504,3.036516,3.072840
3,3.126002,3.050446,3.078909
3,3.129832,3.062988,3.099604
3,3.121050,3.061777,3.096950
3,3.127178,3.068043,3.103724
3,3.124513,3.065224,3.089176
3,3.858251,3.189190,3.598883
3,3.131112,3.051577,3.084600
3,3.128499,3.056998,3.082608
3,3.121719,3.037922,3.072771
3,3.131794,3.036762,3.079148
3,3.134369,3.064840,3.099749
3,3.158716,3.055688,3.096844
3,3.126017,3.048394,3.076497
3,3.122603,3.045288,3.077270
3,3.132080,3.054012,3.085950
3,3.124397,3.048340,3.075356
3,3.159297,3.052328,3.095026
3,3.132018,3.048180,3.079355
3,3.128238,3.044342,3.078612
3,3.143291,3.051071,3.089863
3,3.127404,3.061527,3.086869
3,3.127429,3.047494,3.081863
3,3.127394,3.057239,3.089453
3,3.132789,3.051176,3.079578
3,3.623418,3.420643,3.533152
3,3.123714,3.049629,3.087875
3,3.114583,3.060322,3.079693
3,3.130013,3.063310,3.087050
3,3.121157,3.045821,3.074590
3,3.119265,3.057679,3.078752
3,3.128085,3.049190,3.079366
3,3.121645,3.053005,3.079493
3,3.120752,3.041627,3.071311
3,3.128322,3.049197,3.081360
3,3.125447,3.055246,3.083436
3,3.125345,3.054245,3.084258
3,3.123568,3.064411,3.084159
3,3.125650,3.070411,3.091832
3,3.137440,3.061800,3.095726
3,3.133635,3.059703,3.094293
3,3.130335,3.049775,3.083567
3,3.125425,3.059551,3.085845
3,3.125299,3.052031,3.080405
3,4.142772,3.297903,3.717835
3,3.126542,3.061413,3.098593
3,3.129562,3.055563,3.089575
3,3.123699,3.065448,3.096203
3,3.124524,3.058599,3.087362
3,3.126411,3.055953,3.097103
3,3.131544,3.055592,3.082873
3,3.122997,3.054149,3.081423
3,3.122969,3.048996,3.080364
3,3.120458,3.048872,3.077209
3,3.144713,3.044362,3.082388
3,3.125227,3.061463,3.083360
3,3.128241,3.051288,3.084208
3,3.126052,3.045053,3.074287
3,3.123015,3.058295,3.081362
3,3.123274,3.042709,3.081381
3,3.121922,3.048416,3.077479
3,3.131988,3.050686,3.082882
3,3.140068,3.054563,3.084063
3,3.567645,3.264482,3.452852
3,3.126046,3.051979,3.083103
3,3.125332,3.053918,3.084549
3,3.128286,3.040714,3.078483
3,3.126408,3.051840,3.080534
3,3.120036,3.060329,3.081851
3,3.127003,3.047504,3.075184
3,3.131359,3.049929,3.082514
3,3.124822,3.043241,3.075278
3,3.133697,3.045334,3.076157
3,3.129125,3.042361,3.072269
