name,type1,type2,atk,satk,def,sdef,total_stat,phy_0,phy_1,phy_2,phy_3,phy_4,phy_5,phy_6,phy_7,phy_8,phy_9,phy_10,phy_11,phy_12,phy_13,phy_14,phy_15,phy_16,phy_17,sta_0,sta_1,sta_2,sta_3,sta_4,sta_5,sta_6,sta_7,sta_8,sta_9,sta_10,sta_11,sta_12,sta_13,sta_14,sta_15,sta_16,sta_17,spe_0,spe_1,spe_2,spe_3,spe_4,spe_5,spe_6,spe_7,spe_8,spe_9,spe_10,spe_11,spe_12,spe_13,spe_14,spe_15,spe_16,spe_17
bulbasaur,2,10,49,65,49,65,318,17,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,1,0,20,0,0,2,0,0,1,1,0,1,0,7,0,4,0,0,0,1,7,0,0,4,1,0,0,0,0,0,0,9,0,0,0,0,0,0
ivysaur,2,10,62,80,63,80,405,16,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,1,0,21,0,0,2,0,0,1,1,0,1,0,6,0,4,0,0,0,1,6,0,0,3,1,0,0,0,0,0,0,9,0,0,0,0,0,0
venusaur,2,10,82,100,83,100,525,18,1,0,1,3,0,1,0,0,0,0,8,0,0,0,1,1,0,23,0,0,2,0,0,1,1,0,1,0,6,0,4,0,0,0,1,8,0,0,3,2,0,0,0,0,0,0,10,0,0,0,0,0,0
charmander,8,-1,52,60,43,50,309,20,8,3,0,1,2,1,1,2,5,0,0,1,0,0,5,4,0,20,0,0,1,0,0,0,1,0,2,0,0,0,2,0,1,1,0,7,1,1,0,1,1,0,0,0,10,0,0,0,0,0,3,0,0
charmeleon,8,-1,64,80,58,65,405,20,8,2,0,1,2,1,1,2,5,0,0,1,0,0,5,4,0,20,0,0,1,0,0,0,1,0,2,0,0,0,2,0,1,1,0,7,1,0,0,1,1,0,0,0,10,0,0,0,0,0,3,0,0
charizard,1,8,84,109,78,85,534,21,8,7,0,4,2,1,1,3,8,0,0,1,0,0,6,5,0,20,0,3,1,0,1,0,1,0,2,0,0,0,2,0,2,1,0,8,1,4,0,2,1,0,1,0,13,0,1,0,0,0,4,0,0
squirtle,9,-1,48,50,65,64,314,20,8,0,0,1,3,0,0,2,0,7,0,0,1,2,1,2,0,19,0,0,1,1,0,0,1,1,0,4,0,0,2,3,0,0,0,5,1,0,0,2,0,0,0,0,0,13,0,0,2,3,1,0,0
wartortle,9,-1,63,65,80,80,405,20,8,0,0,1,3,0,0,2,0,7,0,0,1,2,1,2,0,16,0,0,1,0,0,0,1,1,0,4,0,0,2,3,0,0,0,5,1,0,0,2,0,0,0,0,0,13,0,0,1,3,1,0,0
blastoise,9,-1,83,85,100,105,530,22,9,0,0,4,4,0,0,2,0,7,0,0,1,3,2,3,0,18,0,0,1,0,0,0,1,1,0,4,0,0,2,3,0,0,0,7,2,0,0,2,0,1,0,1,0,14,0,0,1,3,1,1,0
caterpie,5,-1,30,20,35,20,195,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
metapod,5,-1,20,25,55,25,205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
butterfree,1,5,45,90,50,80,395,12,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,18,0,3,2,0,0,3,2,1,1,1,2,0,4,0,0,0,0,6,0,4,1,0,0,6,2,0,0,0,4,1,5,0,1,0,1
weedle,2,5,35,20,30,20,195,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kakuna,2,5,25,25,50,25,205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
beedrill,2,5,90,45,40,80,395,16,2,3,2,1,0,7,0,0,0,0,0,0,0,0,1,7,0,16,0,3,2,0,0,1,1,0,1,0,0,0,3,0,0,0,0,5,0,1,2,0,0,3,1,0,0,0,3,1,0,0,0,0,0
pidgey,-1,1,45,35,40,35,251,12,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,13,1,5,1,1,0,0,1,0,1,1,0,0,3,0,0,0,0,6,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
pidgeotto,-1,1,60,50,55,50,349,12,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,12,1,5,1,1,0,0,1,0,1,1,0,0,3,0,0,0,0,6,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
pidgeot,-1,1,80,70,75,70,479,13,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,13,1,5,1,1,0,0,1,0,1,1,0,0,3,0,0,0,0,7,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
rattata,-1,-1,56,25,35,35,253,22,4,1,0,1,0,1,0,1,1,0,0,1,1,0,0,6,0,17,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,5,1,0,1,1,0,0,1,0,0,2,1,4,0,3,0,0,0
raticate,-1,-1,81,50,60,70,413,24,2,1,0,2,0,1,0,1,0,0,0,1,1,0,0,7,0,18,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,6,0,0,1,1,0,0,1,0,0,2,1,4,0,3,0,0,0
spearow,-1,1,60,31,30,31,262,13,0,7,0,1,0,1,1,1,0,0,0,0,0,0,0,4,0,16,1,5,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,8,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
fearow,-1,1,90,61,65,61,442,14,0,7,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,16,1,4,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,9,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
